Rank,GermanName,EnglishName,Neighbourhood,Category,WikiLink,GMapsLink,FrontPictureName,BackPictureName,NCoordinate,ECoordinate,SmallDescription,Description
1,Mittlere Bruecke,Middle Bridge,Altstadt Grossbasel,Bridge,"https://en.wikipedia.org/wiki/Middle_Bridge,_Basel",https://maps.app.goo.gl/fvZveD45cXB8rvbo8,card009.jpg,card509.jpg,47.56014573,7.589701478,Oldest bridge site crossing the Rhine,
2,Roche Tower 2,Roche Tower,Wettstein,Buildings,https://en.wikipedia.org/wiki/Roche_Tower_2,https://maps.app.goo.gl/gdFkxJQvin1LUWt76,card014.jpg,card514.jpg,47.55943735,7.6073418,The tallest building in Switzerland,
3,BIZ Turm,BIS Tower,St. Alban,Buildings,https://en.wikipedia.org/wiki/BIS-Tower,https://maps.app.goo.gl/BKTEvp2bgcEbSZ6s8,card019.jpg,card519.jpg,47.5480285,7.591665079,"Follows the trends of ""vegetative architecture""","By a special agreement and international conventions, the building has a special legal status"
4,Rathaus,Town Hall,Altstadt Grossbasel,Buildings,https://en.wikipedia.org/wiki/Basel_Town_Hall,https://maps.app.goo.gl/XhxgoLoy4v735MW47,card022.jpg,card522.jpg,47.5581697,7.588164956,500-year-old building dominating the Marktplatz,
5,Basler Muenster,Basel Minster,Altstadt Grossbasel,Church,https://en.wikipedia.org/wiki/Basel_Minster,https://maps.app.goo.gl/pkWaSrSg66vCJrNZ8,card023.jpg,card523.jpg,47.55630839,7.591967281,One of the main landmarks and tourist attractions of Basel,
6,St. Jakob-Park,St. Jacob-Park,St. Alban,Culture Centre,https://en.wikipedia.org/wiki/St._Jakob-Park,https://maps.app.goo.gl/Njot7H5MX13GsW9D8,card036.jpg,card536.jpg,47.54166806,7.620047646,Is the largest football venue in Switzerland,
7,Tinguely Brunnen,Tinguely fountain,Vorstaedte,Fountain,https://de.wikipedia.org/wiki/Fasnachts-Brunnen,https://maps.app.goo.gl/pQTQDUH4FQBsiygW9,card038.jpg,card538.jpg,47.55368341,7.590612053,It contains 10 machine sculptures from Jean Tinguely,
8,Spalentor,Gate of Spalen,Vorstaedte,Monuments,https://de.wikipedia.org/wiki/Spalentor,https://maps.app.goo.gl/Tn1CbYZ8RpDXNZfm7,card057.jpg,card557.jpg,47.55794994,7.581386942,The Spalen Gate was the most elaborate city gate in Basel,
9,Kunstmuseum Basel,Kunstmuseum Basel,Vorstaedte,Museum,https://en.wikipedia.org/wiki/Kunstmuseum_Basel,https://maps.app.goo.gl/MwndsP81oTJ121q56,card059.jpg,card559.jpg,47.55400255,7.594158487,Houses the oldest public art collection in the world,
10,Messeplatz,Exhibition centre,Rosental,Museum,https://de.wikipedia.org/wiki/Messeplatz_(Basel),https://maps.app.goo.gl/KSptdcMi8BwgLpEj8,card064.jpg,card564.jpg,47.56368874,7.600142137,"Few notice that the asphalt has ""Messe Basel"" painted",
11,Kannenfeldpark,Can field park,St. Johann,Park,https://de.wikipedia.org/wiki/Kannenfeldpark,https://maps.app.goo.gl/WD55c57v1gWxiy8m9,card083.jpg,card583.jpg,47.56516682,7.570032266,The largest park in the canton of Basel-Stadt,
12,Birskoepfli,Birs' end,Breite,Park,https://en.wikipedia.org/wiki/Birsk%C3%B6pfli,https://maps.app.goo.gl/SZHDLfhEtX9PAQfM9,card089.jpg,card589.jpg,47.55758764,7.616913726,The park includes the first cable stayed bridge in Switzerland,
13,Basel SBB Station,Basel SBB railway station,Gundeldingen,Stations,https://en.wikipedia.org/wiki/Basel_SBB_railway_station,https://maps.app.goo.gl/B48Zhii3Gns1tcVP8,card092.jpg,card592.jpg,47.54745025,7.589591711,"The first railway to reach Basel, from Strasbourg, arrived there in 1844",
14,Wild Maa Sud,Wild Maa South,Vorstaedte,Boat,https://de.wikipedia.org/wiki/Wild_Maa,,card002.jpg,card502.jpg,47.55527666,7.602625432,Driven purely by the current of the Rhine itself.,Also known as St. Alban ferry
15,Novartis Campus,Novartis Campus,St. Johann,Buildings,https://de.wikipedia.org/wiki/Novartis_Campus,https://maps.app.goo.gl/kFvgePLXhVuPhCxRA,card015.jpg,card515.jpg,47.57175736,7.580602994,The industrial area was redesigned into a 'campus of encounters',
16,Johanniterbruecke,Johanniter bridge,Vorstaedte,Bridge,https://de.wikipedia.org/wiki/Johanniterbr%C3%BCcke,https://maps.app.goo.gl/XBG5N79p8gv627Bx9,card011.jpg,card511.jpg,47.56487783,7.585741035,A referendum in 1877 decided for a new bridge over the Rhine,
17,Offene Kirche Elisabethen,Elisabeth open church,Vorstaedte,Church,"https://en.wikipedia.org/wiki/Elisabethenkirche,_Basel",https://maps.app.goo.gl/FCz7uqqRAzEy757N9,card024.jpg,card524.jpg,47.55279475,7.590866957,It is a well detailed example of Swiss Gothic Revival style churches,
18,Fischmarktbrunnen,Fountain of the fish market,Altstadt Grossbasel,Fountain,,https://maps.app.goo.gl/dPoMQAXCZKtDBkZb8,card039.jpg,card539.jpg,47.55924841,7.586980142,The eleven-metre-high fountain has stood here since the end of the 14th century,
51,Wild Maa Nord,,Wettstein,Boat,,,card001.jpg,card501.jpg,47.55674051,7.602352585,,Also known as St. Alban ferry
53,Leu Nord,,Altstadt Kleinbasel,Boat,,https://maps.app.goo.gl/Ykow62QoFuk7A2ha9,card003.jpg,card503.jpg,47.55809835,7.594346914,,Also known as Minster ferry
54,Leu Sud,,Altstadt Grossbasel,Boat,,https://maps.app.goo.gl/ZdT6AUibTJgxf2XQA,card004.jpg,card504.jpg,47.55709496,7.59310272,,Also known as Minster ferry
55,Vogel Gryff Nord,,Altstadt Kleinbasel,Boat,,https://maps.app.goo.gl/wWXpHZEkVezNnHy59,card005.jpg,card505.jpg,47.56272448,7.588607295,,Also known as Klingental ferry
56,Vogel Gryff Sud,,Vorstaedte,Boat,,,card006.jpg,card506.jpg,47.56193438,7.586452444,,Also known as Klingental ferry
57,Ueli Ost,Ueli East,Matthaeus,Boat,,,card007.jpg,card507.jpg,47.56946499,7.586080333,,Also known as St. Johann ferry
58,Ueli West,Ueli West,St. Johann,Boat,,,card008.jpg,card508.jpg,47.56940227,7.583254138,,Also known as St. Johann ferry
60,Wettsteinbruecke,,Altstadt Grossbasel,Bridge,,https://maps.app.goo.gl/PykMJjnvKuuMc6ip6,card010.jpg,card510.jpg,47.55652057,7.596203856,,
62,Schwarzwaldbruecke,,Breite,Bridge,,https://maps.app.goo.gl/enZaBsVg8gqaeLQcA,card012.jpg,card512.jpg,47.55815655,7.613876284,,
63,Dreirosenbruecke,,St. Johann,Bridge,,https://maps.app.goo.gl/8u2JiFDEmSFtrFKU7,card013.jpg,card513.jpg,47.57072183,7.584955342,,
66,Messeturm,,Rosental,Buildings,,https://maps.app.goo.gl/J1SJ7RMy51Y4qnBW8,card016.jpg,card516.jpg,47.56448696,7.602067104,,
67,Novartis Pavillion,,St. Johann,Buildings,,https://maps.app.goo.gl/V85VKaK56LBvecQA7,card017.jpg,card517.jpg,47.57145606,7.582836898,,
68,MOH Meret Oppenheim Hochhaus,,Gundeldingen,Buildings,,https://maps.app.goo.gl/gp5HaKYGNFjSFGAv5,card018.jpg,card518.jpg,47.54597298,7.587084498,,
70,Staatsarchiv Basel-Stadt,,Altstadt Grossbasel,Buildings,,https://maps.app.goo.gl/5xi4JXRD73moaLqs7,card020.jpg,card520.jpg,47.55854064,7.588803604,,
